"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Supervivencia","Clase"
"175",0,1,"male",56,0,0,30.6958,"C","NO","primera"
"176",0,3,"male",18,1,1,7.8542,"S","NO","tercera"
"177",0,3,"male",4,3,1,25.4667,"S","NO","tercera"
"178",0,1,"female",50,0,0,28.7125,"C","NO","primera"
"179",0,2,"male",30,0,0,13,"S","NO","segunda"
"180",0,3,"male",36,0,0,0,"S","NO","tercera"
"181",0,3,"female",9,8,2,69.55,"S","NO","tercera"
"182",0,2,"male",47,0,0,15.05,"C","NO","segunda"
"183",0,3,"male",9,4,2,31.3875,"S","NO","tercera"
"184",1,2,"male",1,2,1,39,"S","SI","segunda"
"185",1,3,"female",4,0,2,22.025,"S","SI","tercera"
"186",0,1,"male",47,0,0,50,"S","NO","primera"
"187",1,3,"female",24,1,0,15.5,"Q","SI","tercera"
"188",1,1,"male",45,0,0,26.55,"S","SI","primera"
"189",0,3,"male",40,1,1,15.5,"Q","NO","tercera"
"190",0,3,"male",36,0,0,7.8958,"S","NO","tercera"
"191",1,2,"female",32,0,0,13,"S","SI","segunda"
"192",0,2,"male",19,0,0,13,"S","NO","segunda"
"193",1,3,"female",19,1,0,7.8542,"S","SI","tercera"
"194",1,2,"male",3,1,1,26,"S","SI","segunda"
"195",1,1,"female",44,0,0,27.7208,"C","SI","primera"
"196",1,1,"female",58,0,0,146.5208,"C","SI","primera"
"197",0,3,"male",51,0,0,7.75,"Q","NO","tercera"
"198",0,3,"male",42,0,1,8.4042,"S","NO","tercera"
"199",1,3,"female",22,0,0,7.75,"Q","SI","tercera"
"200",0,2,"female",24,0,0,13,"S","NO","segunda"
"201",0,3,"male",28,0,0,9.5,"S","NO","tercera"
"202",0,3,"male",9,8,2,69.55,"S","NO","tercera"
"203",0,3,"male",34,0,0,6.4958,"S","NO","tercera"
"204",0,3,"male",45.5,0,0,7.225,"C","NO","tercera"
"205",1,3,"male",18,0,0,8.05,"S","SI","tercera"
"206",0,3,"female",2,0,1,10.4625,"S","NO","tercera"
"207",0,3,"male",32,1,0,15.85,"S","NO","tercera"
"208",1,3,"male",26,0,0,18.7875,"C","SI","tercera"
"209",1,3,"female",16,0,0,7.75,"Q","SI","tercera"
"210",1,1,"male",40,0,0,31,"C","SI","primera"
"211",0,3,"male",24,0,0,7.05,"S","NO","tercera"
"212",1,2,"female",35,0,0,21,"S","SI","segunda"
"213",0,3,"male",22,0,0,7.25,"S","NO","tercera"
"214",0,2,"male",30,0,0,13,"S","NO","segunda"
"215",0,3,"male",25,1,0,7.75,"Q","NO","tercera"
"216",1,1,"female",31,1,0,113.275,"C","SI","primera"
"217",1,3,"female",27,0,0,7.925,"S","SI","tercera"
"218",0,2,"male",42,1,0,27,"S","NO","segunda"
"219",1,1,"female",32,0,0,76.2917,"C","SI","primera"
"220",0,2,"male",30,0,0,10.5,"S","NO","segunda"
"221",1,3,"male",16,0,0,8.05,"S","SI","tercera"
"222",0,2,"male",27,0,0,13,"S","NO","segunda"
"223",0,3,"male",51,0,0,8.05,"S","NO","tercera"
"224",0,3,"male",33,0,0,7.8958,"S","NO","tercera"
"225",1,1,"male",38,1,0,90,"S","SI","primera"
"226",0,3,"male",22,0,0,9.35,"S","NO","tercera"
"227",1,2,"male",19,0,0,10.5,"S","SI","segunda"
"228",0,3,"male",20.5,0,0,7.25,"S","NO","tercera"
"229",0,2,"male",18,0,0,13,"S","NO","segunda"
"230",0,3,"female",3,3,1,25.4667,"S","NO","tercera"
"231",1,1,"female",35,1,0,83.475,"S","SI","primera"
"232",0,3,"male",29,0,0,7.775,"S","NO","tercera"
"233",0,2,"male",59,0,0,13.5,"S","NO","segunda"
"234",1,3,"female",5,4,2,31.3875,"S","SI","tercera"
"235",0,2,"male",24,0,0,10.5,"S","NO","segunda"
"236",0,3,"female",21,0,0,7.55,"S","NO","tercera"
"237",0,2,"male",44,1,0,26,"S","NO","segunda"
"238",1,2,"female",8,0,2,26.25,"S","SI","segunda"
"239",0,2,"male",19,0,0,10.5,"S","NO","segunda"
"240",0,2,"male",33,0,0,12.275,"S","NO","segunda"
"241",0,3,"female",24,1,0,14.4542,"C","NO","tercera"
"242",1,3,"female",24,1,0,15.5,"Q","SI","tercera"
"243",0,2,"male",29,0,0,10.5,"S","NO","segunda"
"244",0,3,"male",22,0,0,7.125,"S","NO","tercera"
"245",0,3,"male",30,0,0,7.225,"C","NO","tercera"
"246",0,1,"male",44,2,0,90,"Q","NO","primera"
"247",0,3,"female",25,0,0,7.775,"S","NO","tercera"
"248",1,2,"female",24,0,2,14.5,"S","SI","segunda"
"249",1,1,"male",37,1,1,52.5542,"S","SI","primera"
"250",0,2,"male",54,1,0,26,"S","NO","segunda"
"251",0,3,"male",22,0,0,7.25,"S","NO","tercera"
"252",0,3,"female",29,1,1,10.4625,"S","NO","tercera"
"253",0,1,"male",62,0,0,26.55,"S","NO","primera"
"254",0,3,"male",30,1,0,16.1,"S","NO","tercera"
"255",0,3,"female",41,0,2,20.2125,"S","NO","tercera"
"256",1,3,"female",29,0,2,15.2458,"C","SI","tercera"
"257",1,1,"female",32,0,0,79.2,"C","SI","primera"
"258",1,1,"female",30,0,0,86.5,"S","SI","primera"
"259",1,1,"female",35,0,0,512.3292,"C","SI","primera"
"260",1,2,"female",50,0,1,26,"S","SI","segunda"
"261",0,3,"male",51,0,0,7.75,"Q","NO","tercera"
"262",1,3,"male",3,4,2,31.3875,"S","SI","tercera"
"263",0,1,"male",52,1,1,79.65,"S","NO","primera"
"264",0,1,"male",40,0,0,0,"S","NO","primera"
"265",0,3,"female",22,0,0,7.75,"Q","NO","tercera"
"266",0,2,"male",36,0,0,10.5,"S","NO","segunda"
"267",0,3,"male",16,4,1,39.6875,"S","NO","tercera"
"268",1,3,"male",25,1,0,7.775,"S","SI","tercera"
"269",1,1,"female",58,0,1,153.4625,"S","SI","primera"
"270",1,1,"female",35,0,0,135.6333,"S","SI","primera"
"271",0,1,"male",52,0,0,31,"S","NO","primera"
"272",1,3,"male",25,0,0,0,"S","SI","tercera"
"273",1,2,"female",41,0,1,19.5,"S","SI","segunda"
"274",0,1,"male",37,0,1,29.7,"C","NO","primera"
"275",1,3,"female",22,0,0,7.75,"Q","SI","tercera"
"276",1,1,"female",63,1,0,77.9583,"S","SI","primera"
"277",0,3,"female",45,0,0,7.75,"S","NO","tercera"
"278",0,2,"male",30,0,0,0,"S","NO","segunda"
"279",0,3,"male",7,4,1,29.125,"Q","NO","tercera"
"280",1,3,"female",35,1,1,20.25,"S","SI","tercera"
"281",0,3,"male",65,0,0,7.75,"Q","NO","tercera"
"282",0,3,"male",28,0,0,7.8542,"S","NO","tercera"
"283",0,3,"male",16,0,0,9.5,"S","NO","tercera"
"284",1,3,"male",19,0,0,8.05,"S","SI","tercera"
"285",0,1,"male",36,0,0,26,"S","NO","primera"
"286",0,3,"male",33,0,0,8.6625,"C","NO","tercera"
"287",1,3,"male",30,0,0,9.5,"S","SI","tercera"
"288",0,3,"male",22,0,0,7.8958,"S","NO","tercera"
"289",1,2,"male",42,0,0,13,"S","SI","segunda"
"290",1,3,"female",22,0,0,7.75,"Q","SI","tercera"
"291",1,1,"female",26,0,0,78.85,"S","SI","primera"
"292",1,1,"female",19,1,0,91.0792,"C","SI","primera"
"293",0,2,"male",36,0,0,12.875,"C","NO","segunda"
"294",0,3,"female",24,0,0,8.85,"S","NO","tercera"
"295",0,3,"male",24,0,0,7.8958,"S","NO","tercera"
"296",0,1,"male",45,0,0,27.7208,"C","NO","primera"
"297",0,3,"male",23.5,0,0,7.2292,"C","NO","tercera"
"298",0,1,"female",2,1,2,151.55,"S","NO","primera"
"299",1,1,"male",52,0,0,30.5,"S","SI","primera"
"300",1,1,"female",50,0,1,247.5208,"C","SI","primera"
"301",1,3,"female",22,0,0,7.75,"Q","SI","tercera"
"302",1,3,"male",26,2,0,23.25,"Q","SI","tercera"
"303",0,3,"male",19,0,0,0,"S","NO","tercera"
"304",1,2,"female",30,0,0,12.35,"Q","SI","segunda"
"305",0,3,"male",24,0,0,8.05,"S","NO","tercera"
"306",1,1,"male",0.92,1,2,151.55,"S","SI","primera"
"307",1,1,"female",30,0,0,110.8833,"C","SI","primera"
"308",1,1,"female",17,1,0,108.9,"C","SI","primera"
"309",0,2,"male",30,1,0,24,"C","NO","segunda"
"310",1,1,"female",30,0,0,56.9292,"C","SI","primera"
"311",1,1,"female",24,0,0,83.1583,"C","SI","primera"
"312",1,1,"female",18,2,2,262.375,"C","SI","primera"
"313",0,2,"female",26,1,1,26,"S","NO","segunda"
"314",0,3,"male",28,0,0,7.8958,"S","NO","tercera"
"315",0,2,"male",43,1,1,26.25,"S","NO","segunda"
"316",1,3,"female",26,0,0,7.8542,"S","SI","tercera"
"317",1,2,"female",24,1,0,26,"S","SI","segunda"
"318",0,2,"male",54,0,0,14,"S","NO","segunda"
"319",1,1,"female",31,0,2,164.8667,"S","SI","primera"
"320",1,1,"female",40,1,1,134.5,"C","SI","primera"
"321",0,3,"male",22,0,0,7.25,"S","NO","tercera"
"322",0,3,"male",27,0,0,7.8958,"S","NO","tercera"
"323",1,2,"female",30,0,0,12.35,"Q","SI","segunda"
"324",1,2,"female",22,1,1,29,"S","SI","segunda"
"325",0,3,"male",9,8,2,69.55,"S","NO","tercera"
"326",1,1,"female",36,0,0,135.6333,"C","SI","primera"
"327",0,3,"male",61,0,0,6.2375,"S","NO","tercera"
"328",1,2,"female",36,0,0,13,"S","SI","segunda"
"329",1,3,"female",31,1,1,20.525,"S","SI","tercera"
"330",1,1,"female",16,0,1,57.9792,"C","SI","primera"
"331",1,3,"female",26,2,0,23.25,"Q","SI","tercera"
"332",0,1,"male",45.5,0,0,28.5,"S","NO","primera"
"333",0,1,"male",38,0,1,153.4625,"S","NO","primera"
"334",0,3,"male",16,2,0,18,"S","NO","tercera"
"335",1,1,"female",23,1,0,133.65,"S","SI","primera"
"336",0,3,"male",33,0,0,7.8958,"S","NO","tercera"
"337",0,1,"male",29,1,0,66.6,"S","NO","primera"
"338",1,1,"female",41,0,0,134.5,"C","SI","primera"
"339",1,3,"male",45,0,0,8.05,"S","SI","tercera"
"340",0,1,"male",45,0,0,35.5,"S","NO","primera"
"341",1,2,"male",2,1,1,26,"S","SI","segunda"
"342",1,1,"female",24,3,2,263,"S","SI","primera"
"343",0,2,"male",28,0,0,13,"S","NO","segunda"
"344",0,2,"male",25,0,0,13,"S","NO","segunda"
"345",0,2,"male",36,0,0,13,"S","NO","segunda"
"346",1,2,"female",24,0,0,13,"S","SI","segunda"
"347",1,2,"female",40,0,0,13,"S","SI","segunda"
"348",1,3,"female",26,1,0,16.1,"S","SI","tercera"
"349",1,3,"male",3,1,1,15.9,"S","SI","tercera"
"350",0,3,"male",42,0,0,8.6625,"S","NO","tercera"
"351",0,3,"male",23,0,0,9.225,"S","NO","tercera"
"352",0,1,"male",47,0,0,35,"S","NO","primera"
"353",0,3,"male",15,1,1,7.2292,"C","NO","tercera"
"354",0,3,"male",25,1,0,17.8,"S","NO","tercera"
"355",0,3,"male",30,0,0,7.225,"C","NO","tercera"
"356",0,3,"male",28,0,0,9.5,"S","NO","tercera"
"357",1,1,"female",22,0,1,55,"S","SI","primera"
"358",0,2,"female",38,0,0,13,"S","NO","segunda"
"359",1,3,"female",26,0,0,7.8792,"Q","SI","tercera"
"360",1,3,"female",26,0,0,7.8792,"Q","SI","tercera"
"361",0,3,"male",40,1,4,27.9,"S","NO","tercera"
"362",0,2,"male",29,1,0,27.7208,"C","NO","segunda"
"363",0,3,"female",45,0,1,14.4542,"C","NO","tercera"
"364",0,3,"male",35,0,0,7.05,"S","NO","tercera"
"365",0,3,"male",30,1,0,15.5,"Q","NO","tercera"
"366",0,3,"male",30,0,0,7.25,"S","NO","tercera"
"367",1,1,"female",60,1,0,75.25,"C","SI","primera"
"368",1,3,"female",18,0,0,7.2292,"C","SI","tercera"
"369",1,3,"female",22,0,0,7.75,"Q","SI","tercera"
"370",1,1,"female",24,0,0,69.3,"C","SI","primera"
"371",1,1,"male",25,1,0,55.4417,"C","SI","primera"
"372",0,3,"male",18,1,0,6.4958,"S","NO","tercera"
"373",0,3,"male",19,0,0,8.05,"S","NO","tercera"
"374",0,1,"male",22,0,0,135.6333,"C","NO","primera"
"375",0,3,"female",3,3,1,21.075,"S","NO","tercera"
"376",1,1,"female",52,1,0,82.1708,"C","SI","primera"
"377",1,3,"female",22,0,0,7.25,"S","SI","tercera"
"378",0,1,"male",27,0,2,211.5,"C","NO","primera"
"379",0,3,"male",20,0,0,4.0125,"C","NO","tercera"
"380",0,3,"male",19,0,0,7.775,"S","NO","tercera"
"381",1,1,"female",42,0,0,227.525,"C","SI","primera"
"382",1,3,"female",1,0,2,15.7417,"C","SI","tercera"
"383",0,3,"male",32,0,0,7.925,"S","NO","tercera"
"384",1,1,"female",35,1,0,52,"S","SI","primera"
"385",0,3,"male",33,0,0,7.8958,"S","NO","tercera"
"386",0,2,"male",18,0,0,73.5,"S","NO","segunda"
"387",0,3,"male",1,5,2,46.9,"S","NO","tercera"
"388",1,2,"female",36,0,0,13,"S","SI","segunda"
"389",0,3,"male",51,0,0,7.7292,"Q","NO","tercera"
"390",1,2,"female",17,0,0,12,"C","SI","segunda"
"391",1,1,"male",36,1,2,120,"S","SI","primera"
"392",1,3,"male",21,0,0,7.7958,"S","SI","tercera"
"393",0,3,"male",28,2,0,7.925,"S","NO","tercera"
"394",1,1,"female",23,1,0,113.275,"C","SI","primera"
"395",1,3,"female",24,0,2,16.7,"S","SI","tercera"
"396",0,3,"male",22,0,0,7.7958,"S","NO","tercera"
"397",0,3,"female",31,0,0,7.8542,"S","NO","tercera"
"398",0,2,"male",46,0,0,26,"S","NO","segunda"
"399",0,2,"male",23,0,0,10.5,"S","NO","segunda"
"400",1,2,"female",28,0,0,12.65,"S","SI","segunda"
"401",1,3,"male",39,0,0,7.925,"S","SI","tercera"
"402",0,3,"male",26,0,0,8.05,"S","NO","tercera"
"403",0,3,"female",21,1,0,9.825,"S","NO","tercera"
"404",0,3,"male",28,1,0,15.85,"S","NO","tercera"
"405",0,3,"female",20,0,0,8.6625,"S","NO","tercera"
"406",0,2,"male",34,1,0,21,"S","NO","segunda"
"407",0,3,"male",51,0,0,7.75,"S","NO","tercera"
"408",1,2,"male",3,1,1,18.75,"S","SI","segunda"
"409",0,3,"male",21,0,0,7.775,"S","NO","tercera"
"410",0,3,"female",3,3,1,25.4667,"S","NO","tercera"
"411",0,3,"male",33,0,0,7.8958,"S","NO","tercera"
"412",0,3,"male",24,0,0,6.8583,"Q","NO","tercera"
"413",1,1,"female",33,1,0,90,"Q","SI","primera"
"414",0,2,"male",30,0,0,0,"S","NO","segunda"
"415",1,3,"male",44,0,0,7.925,"S","SI","tercera"
"416",0,3,"female",26,0,0,8.05,"S","NO","tercera"
"417",1,2,"female",34,1,1,32.5,"S","SI","segunda"
"418",1,2,"female",18,0,2,13,"S","SI","segunda"
"419",0,2,"male",30,0,0,13,"S","NO","segunda"
"420",0,3,"female",10,0,2,24.15,"S","NO","tercera"
"421",0,3,"male",33,0,0,7.8958,"C","NO","tercera"
"422",0,3,"male",21,0,0,7.7333,"Q","NO","tercera"
"423",0,3,"male",29,0,0,7.875,"S","NO","tercera"
"424",0,3,"female",28,1,1,14.4,"S","NO","tercera"
"425",0,3,"male",18,1,1,20.2125,"S","NO","tercera"
"426",0,3,"male",22,0,0,7.25,"S","NO","tercera"
"427",1,2,"female",28,1,0,26,"S","SI","segunda"
"428",1,2,"female",19,0,0,26,"S","SI","segunda"
"429",0,3,"male",51,0,0,7.75,"Q","NO","tercera"
"430",1,3,"male",32,0,0,8.05,"S","SI","tercera"
"431",1,1,"male",28,0,0,26.55,"S","SI","primera"
"432",1,3,"female",26,1,0,16.1,"S","SI","tercera"
"433",1,2,"female",42,1,0,26,"S","SI","segunda"
"434",0,3,"male",17,0,0,7.125,"S","NO","tercera"
"435",0,1,"male",50,1,0,55.9,"S","NO","primera"
"436",1,1,"female",14,1,2,120,"S","SI","primera"
"437",0,3,"female",21,2,2,34.375,"S","NO","tercera"
"438",1,2,"female",24,2,3,18.75,"S","SI","segunda"
"439",0,1,"male",64,1,4,263,"S","NO","primera"
"440",0,2,"male",31,0,0,10.5,"S","NO","segunda"
"441",1,2,"female",45,1,1,26.25,"S","SI","segunda"
"442",0,3,"male",20,0,0,9.5,"S","NO","tercera"
"443",0,3,"male",25,1,0,7.775,"S","NO","tercera"
"444",1,2,"female",28,0,0,13,"S","SI","segunda"
"445",1,3,"male",21,0,0,8.1125,"S","SI","tercera"
"446",1,1,"male",4,0,2,81.8583,"S","SI","primera"
"447",1,2,"female",13,0,1,19.5,"S","SI","segunda"
"448",1,1,"male",34,0,0,26.55,"S","SI","primera"
"449",1,3,"female",5,2,1,19.2583,"C","SI","tercera"
"450",1,1,"male",52,0,0,30.5,"S","SI","primera"
